Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;;2022;51,1
Total Nacional;;2021;49,9
Total Nacional;;2020;48,5
Total Nacional;;2019;50,4
Total Nacional;;2018;49,7
Total Nacional;;2017;48,7
Total Nacional;;2016;47,6
Total Nacional;;2015;46,4
Total Nacional;;2014;45,0
Total Nacional;;2013;44,4
Total Nacional;;2012;45,4
Total Nacional;;2011;47,4
Total Nacional;;2010;48,3
Total Nacional;;2009;49,4
Total Nacional;;2008;53,3
Total Nacional;;2007;54,4
Total Nacional;;2006;53,7
Total Nacional;01 Andalucía;2022;45,9
Total Nacional;01 Andalucía;2021;44,7
Total Nacional;01 Andalucía;2020;43,0
Total Nacional;01 Andalucía;2019;44,8
Total Nacional;01 Andalucía;2018;43,8
Total Nacional;01 Andalucía;2017;42,7
Total Nacional;01 Andalucía;2016;41,1
Total Nacional;01 Andalucía;2015;40,2
Total Nacional;01 Andalucía;2014;38,4
Total Nacional;01 Andalucía;2013;37,5
Total Nacional;01 Andalucía;2012;38,8
Total Nacional;01 Andalucía;2011;41,0
Total Nacional;01 Andalucía;2010;42,3
Total Nacional;01 Andalucía;2009;43,5
Total Nacional;01 Andalucía;2008;47,3
Total Nacional;01 Andalucía;2007;49,2
Total Nacional;01 Andalucía;2006;48,5
Total Nacional;02 Aragón;2022;53,3
Total Nacional;02 Aragón;2021;52,6
Total Nacional;02 Aragón;2020;51,3
Total Nacional;02 Aragón;2019;53,3
Total Nacional;02 Aragón;2018;52,4
Total Nacional;02 Aragón;2017;51,8
Total Nacional;02 Aragón;2016;50,6
Total Nacional;02 Aragón;2015;49,2
Total Nacional;02 Aragón;2014;47,0
Total Nacional;02 Aragón;2013;46,4
Total Nacional;02 Aragón;2012;48,9
Total Nacional;02 Aragón;2011;49,0
Total Nacional;02 Aragón;2010;50,0
Total Nacional;02 Aragón;2009;51,7
Total Nacional;02 Aragón;2008;55,6
Total Nacional;02 Aragón;2007;56,3
Total Nacional;02 Aragón;2006;54,0
Total Nacional;03 Asturias, Principado de;2022;43,5
Total Nacional;03 Asturias, Principado de;2021;44,3
Total Nacional;03 Asturias, Principado de;2020;43,0
Total Nacional;03 Asturias, Principado de;2019;43,5
Total Nacional;03 Asturias, Principado de;2018;43,9
Total Nacional;03 Asturias, Principado de;2017;43,9
Total Nacional;03 Asturias, Principado de;2016;42,6
Total Nacional;03 Asturias, Principado de;2015;41,2
Total Nacional;03 Asturias, Principado de;2014;40,9
Total Nacional;03 Asturias, Principado de;2013;39,8
Total Nacional;03 Asturias, Principado de;2012;40,9
Total Nacional;03 Asturias, Principado de;2011;42,6
Total Nacional;03 Asturias, Principado de;2010;43,6
Total Nacional;03 Asturias, Principado de;2009;45,0
Total Nacional;03 Asturias, Principado de;2008;48,2
Total Nacional;03 Asturias, Principado de;2007;46,3
Total Nacional;03 Asturias, Principado de;2006;45,4
Total Nacional;04 Balears, Illes;2022;57,1
Total Nacional;04 Balears, Illes;2021;53,9
Total Nacional;04 Balears, Illes;2020;51,7
Total Nacional;04 Balears, Illes;2019;56,8
Total Nacional;04 Balears, Illes;2018;57,0
Total Nacional;04 Balears, Illes;2017;56,1
Total Nacional;04 Balears, Illes;2016;56,2
Total Nacional;04 Balears, Illes;2015;54,4
Total Nacional;04 Balears, Illes;2014;51,9
Total Nacional;04 Balears, Illes;2013;51,5
Total Nacional;04 Balears, Illes;2012;51,5
Total Nacional;04 Balears, Illes;2011;51,2
Total Nacional;04 Balears, Illes;2010;53,0
Total Nacional;04 Balears, Illes;2009;54,1
Total Nacional;04 Balears, Illes;2008;58,4
Total Nacional;04 Balears, Illes;2007;59,8
Total Nacional;04 Balears, Illes;2006;60,3
Total Nacional;05 Canarias;2022;48,7
Total Nacional;05 Canarias;2021;44,5
Total Nacional;05 Canarias;2020;44,2
Total Nacional;05 Canarias;2019;47,8
Total Nacional;05 Canarias;2018;48,3
Total Nacional;05 Canarias;2017;46,2
Total Nacional;05 Canarias;2016;45,2
Total Nacional;05 Canarias;2015;43,9
Total Nacional;05 Canarias;2014;41,4
Total Nacional;05 Canarias;2013;41,3
Total Nacional;05 Canarias;2012;42,5
Total Nacional;05 Canarias;2011;44,4
Total Nacional;05 Canarias;2010;44,2
Total Nacional;05 Canarias;2009;45,8
Total Nacional;05 Canarias;2008;50,3
Total Nacional;05 Canarias;2007;54,6
Total Nacional;05 Canarias;2006;54,0
Total Nacional;06 Cantabria;2022;49,6
Total Nacional;06 Cantabria;2021;49,1
Total Nacional;06 Cantabria;2020;47,3
Total Nacional;06 Cantabria;2019;49,4
Total Nacional;06 Cantabria;2018;49,0
Total Nacional;06 Cantabria;2017;48,2
Total Nacional;06 Cantabria;2016;47,8
Total Nacional;06 Cantabria;2015;46,2
Total Nacional;06 Cantabria;2014;45,5
Total Nacional;06 Cantabria;2013;44,7
Total Nacional;06 Cantabria;2012;46,8
Total Nacional;06 Cantabria;2011;47,8
Total Nacional;06 Cantabria;2010;48,4
